;id;start_date ;deposit;balance;loan;loan_type;requested_amount;granted_amount;action;SM_account_number;SM_friends;SM_tags;SM_likes
1;1;2017-04-05;1;0;1;karta kredytowa;1900;1900;0;4;442;0;0
2;2;2017-06-29;1;0;0;;600;NA;0;3;659;0;0
3;3;2017-10-13;0;NA;1;karta kredytowa;4500;4500;1;1;171;4;7
4;4;2017-08-31;1;4870;0;;NA;NA;1;2;56;6;3
5;5;2017-07-20;1;6570;0;;NA;NA;0;2;195;5;2
6;6;2017-07-05;1;870;0;;NA;NA;0;3;470;802;3
7;7;2017-08-26;1;190;0;;NA;NA;0;2;43;1;0
8;8;2017-11-03;0;NA;1;karta kredytowa;3400;3400;0;2;219;0;0
9;9;2017-03-13;1;0;0;;NA;NA;0;3;497;0;0
10;10;2017-09-23;1;3140;0;;NA;NA;0;3;580;2;9
11;11;2017-08-09;1;1020;0;;NA;NA;0;4;624;2;2
12;12;2017-01-01;1;0;0;;NA;NA;0;2;101;0;0
13;13;2017-06-08;1;2380;0;;NA;NA;0;3;591;2;11
14;14;2017-06-17;0;NA;1;kredyt ratalny;900;900;0;3;495;0;0
15;15;2017-11-03;1;5900;0;;NA;NA;0;1;99;6;2
16;16;2017-05-27;1;5480;0;;NA;NA;0;2;62;5;3
17;17;2017-12-26;1;740;0;;NA;NA;1;2;125;4;4
18;18;2017-11-15;1;5620;0;;NA;NA;0;4;388;8;2
19;19;2017-12-16;1;4630;1;kredyt ratalny;800;800;0;3;462;5;5
20;20;2017-09-19;1;0;1;kredyt ratalny;600;600;0;3;461;0;0
21;21;2017-12-09;1;5050;0;;NA;NA;0;3;545;6;21
22;22;2017-11-16;1;2240;0;;NA;NA;1;1;201;2;1
23;23;2017-04-18;1;0;1;limit w koncie;3100;3100;0;1;101;0;0
24;24;2017-07-29;1;4700;0;;NA;NA;0;1;172;6;2
25;25;2017-10-18;0;NA;1;kredyt ratalny;700;700;0;2;13;1;0
26;26;2017-08-18;1;460;1;karta kredytowa;1200;1200;0;3;657;0;0
27;27;2017-10-13;1;9140;0;;NA;NA;0;3;499;7;23
28;28;2017-06-25;1;0;0;;1100;NA;1;2;150;0;0
29;29;2017-10-22;0;NA;1;kredyt ratalny;1100;990;0;2;214;7;3
30;30;2017-12-19;1;9970;0;;1100;NA;0;4;505;10;2
31;31;2017-09-19;1;0;1;limit w koncie;3200;3200;0;4;512;0;0
32;32;2017-02-07;0;NA;1;kredyt ratalny;500;500;0;2;43;1;1
33;33;2017-08-20;1;1610;0;;NA;NA;0;1;61;1;2
34;34;2017-10-02;0;NA;1;karta kredytowa;1400;1400;0;2;185;0;0
35;35;2017-12-09;0;NA;1;karta kredytowa;1300;1300;0;3;514;0;0
36;36;2017-04-20;1;0;0;;NA;NA;0;4;524;0;0
37;37;2017-04-02;1;2460;0;;NA;NA;1;2;61;2;7
38;38;2017-07-03;1;3310;0;;NA;NA;1;2;126;3;0
39;39;2017-09-19;1;1860;0;;NA;NA;0;1;14;2;3
40;40;2017-04-15;1;0;0;;NA;NA;0;3;468;0;0
41;41;2017-06-21;1;2730;0;;NA;NA;0;3;404;2;2
42;42;2017-11-24;1;2130;0;;NA;NA;1;2;66;2;1
43;43;2017-09-27;1;0;0;;NA;NA;0;4;532;0;0
44;44;2017-12-30;1;290;0;;NA;NA;0;3;527;0;0
45;45;2017-10-20;1;4630;1;kredyt ratalny;1100;990;0;3;501;5;1
46;46;2017-04-27;1;0;0;;NA;NA;0;3;452;0;0
47;47;2017-06-07;1;3210;0;;NA;NA;1;2;134;2;9
48;48;2017-03-30;1;5340;0;;NA;NA;0;3;451;5;1
49;49;2017-03-25;1;5950;0;;NA;NA;1;2;36;5;1
50;50;2017-05-23;1;7410;0;;300;NA;0;1;7;7;2
51;51;2017-10-21;1;490;0;;NA;NA;0;4;539;4;6
52;52;2017-10-14;1;1860;1;karta kredytowa;2600;2600;0;4;568;4;4
53;53;2017-03-20;1;3890;0;;NA;NA;0;3;632;1;4
54;54;2017-03-21;1;0;0;;1100;NA;0;1;80;0;0
55;55;2017-04-26;0;NA;1;kredyt ratalny;900;900;0;3;731;1;7
56;56;2017-04-19;1;0;0;;NA;NA;0;2;169;0;0
57;57;2017-01-29;0;NA;1;karta kredytowa;1700;1700;0;1;189;11;9
58;58;2017-11-23;1;3250;1;limit w koncie;1100;1100;0;3;569;3;2
59;59;2017-10-12;1;6060;0;;NA;NA;0;3;502;5;1
60;60;2017-01-28;1;3610;1;limit w koncie;1400;1400;0;3;491;1;25
61;61;2017-09-20;1;8750;0;;NA;NA;0;3;428;9;1
62;62;2017-12-31;1;930;0;;NA;NA;0;2;87;0;0
63;63;2017-03-12;1;0;0;;NA;NA;0;3;331;3;0
64;64;2017-05-20;1;2400;0;;NA;NA;0;3;663;1;1
65;65;2017-05-05;0;NA;1;karta kredytowa;1700;1700;0;2;135;1;0
66;66;2017-04-14;0;NA;1;karta kredytowa;7400;7400;0;4;520;0;0
67;67;2017-07-12;1;2460;0;;2000;NA;1;2;468;1;15
68;68;2017-04-10;1;1150;0;;NA;NA;0;4;577;1;6
69;69;2017-06-11;1;0;0;;NA;NA;0;2;264;5;1
70;70;2017-12-09;0;NA;1;karta kredytowa;1200;1200;0;3;773;1;4
71;71;2017-11-22;0;NA;1;karta kredytowa;2000;2000;1;2;39;0;0
72;72;2017-09-11;0;NA;1;karta kredytowa;2500;2500;0;3;396;0;0
73;73;2017-04-04;1;5220;0;;NA;NA;0;2;21;4;2
74;74;2017-08-14;1;5360;1;karta kredytowa;4400;4400;1;1;10;5;1
75;75;2017-07-24;1;6980;1;limit w koncie;3200;3200;0;3;504;6;6
76;76;2017-06-21;1;0;0;;NA;NA;0;4;602;5;1
77;77;2017-05-28;1;6940;0;;NA;NA;1;2;62;6;4
78;78;2017-11-30;0;NA;1;karta kredytowa;2200;2200;0;3;453;2;0
79;79;2017-07-13;1;1870;0;;NA;NA;1;2;115;4;0
80;80;2017-09-28;1;5890;1;limit w koncie;3800;3800;0;3;575;5;10
81;81;2017-10-09;1;4670;0;;NA;NA;0;4;424;5;3
82;82;2017-11-06;1;0;1;kredyt ratalny;800;800;0;2;44;1;1
83;83;2017-09-11;1;1230;0;;NA;NA;0;4;517;1;94
84;84;2017-06-01;0;NA;1;kredyt ratalny;1700;1530;1;2;46;2;30
85;85;2017-10-05;1;4610;0;;NA;NA;1;1;41;4;4
86;86;2017-07-11;1;2700;0;;NA;NA;1;2;27;2;4
87;87;2017-09-08;1;8190;0;;NA;NA;0;2;142;7;2
88;88;2017-11-06;1;3480;0;;NA;NA;0;2;174;3;4
89;89;2017-08-11;0;NA;1;karta kredytowa;1500;1500;0;4;336;0;0
90;90;2017-09-20;1;7850;0;;NA;NA;0;2;8;7;2
91;91;2017-03-10;1;1740;1;kredyt ratalny;600;600;1;2;233;1;0
